frame,Agent Type,agent number
154,Rabbit,41
155,Fox,23
155,Rabbit,42
156,Fox,23
156,Rabbit,42
157,Fox,23
157,Rabbit,42
158,Fox,23
158,Rabbit,42
159,Fox,22
159,Rabbit,42
160,Fox,22
160,Rabbit,42
161,Fox,22
161,Rabbit,42
162,Fox,22
162,Rabbit,42
163,Fox,22
163,Rabbit,42
164,Fox,22
164,Rabbit,44
165,Fox,22
165,Rabbit,44
166,Fox,22
166,Rabbit,46
167,Fox,22
167,Rabbit,46
168,Fox,21
168,Rabbit,47
169,Fox,21
169,Rabbit,47
170,Fox,21
170,Rabbit,47
171,Fox,22
171,Rabbit,46
172,Fox,22
172,Rabbit,46
173,Fox,22
173,Rabbit,46
174,Fox,22
174,Rabbit,46
175,Fox,22
175,Rabbit,46
176,Fox,22
176,Rabbit,46
177,Fox,22
177,Rabbit,46
178,Fox,22
178,Rabbit,46
179,Fox,22
179,Rabbit,46
180,Fox,22
180,Rabbit,46
181,Fox,22
181,Rabbit,46
182,Fox,22
182,Rabbit,46
183,Fox,21
183,Rabbit,46
184,Fox,21
184,Rabbit,46
185,Fox,21
185,Rabbit,46
186,Fox,21
186,Rabbit,46
187,Fox,21
187,Rabbit,46
188,Fox,21
188,Rabbit,46
189,Fox,21
189,Rabbit,46
190,Fox,21
190,Rabbit,46
191,Fox,20
191,Rabbit,46
192,Fox,20
192,Rabbit,46
193,Fox,20
193,Rabbit,47
194,Fox,19
194,Rabbit,47
195,Fox,19
195,Rabbit,48
196,Fox,19
196,Rabbit,49
197,Fox,18
197,Rabbit,49
198,Fox,18
198,Rabbit,49
199,Fox,18
199,Rabbit,50
200,Fox,18
200,Rabbit,50
201,Fox,18
201,Rabbit,50
202,Fox,18
202,Rabbit,50
203,Fox,18
203,Rabbit,50
204,Fox,18
204,Rabbit,50
205,Fox,18
205,Rabbit,50
206,Fox,18
206,Rabbit,50
207,Fox,18
207,Rabbit,50
208,Fox,18
208,Rabbit,51
209,Fox,18
209,Rabbit,52
210,Fox,18
210,Rabbit,52
211,Fox,18
211,Rabbit,52
212,Fox,18
212,Rabbit,53
213,Fox,18
213,Rabbit,53
214,Fox,18
214,Rabbit,53
215,Fox,18
215,Rabbit,53
216,Fox,18
216,Rabbit,54
217,Fox,18
217,Rabbit,54
218,Fox,18
218,Rabbit,54
219,Fox,18
219,Rabbit,54
220,Fox,18
220,Rabbit,55
221,Fox,18
221,Rabbit,55
222,Fox,17
222,Rabbit,55
223,Fox,17
223,Rabbit,55
224,Fox,17
224,Rabbit,55
225,Fox,16
225,Rabbit,55
226,Fox,15
226,Rabbit,56
227,Fox,15
227,Rabbit,56
228,Fox,15
228,Rabbit,56
229,Fox,15
229,Rabbit,56
230,Fox,15
230,Rabbit,56
231,Fox,15
231,Rabbit,56
232,Fox,14
232,Rabbit,56
233,Fox,14
233,Rabbit,56
234,Fox,14
234,Rabbit,56
235,Fox,14
235,Rabbit,56
236,Fox,14
236,Rabbit,56
237,Fox,14
237,Rabbit,56
238,Fox,14
238,Rabbit,56
239,Fox,14
239,Rabbit,56
240,Fox,14
240,Rabbit,56
241,Fox,14
241,Rabbit,56
242,Fox,14
242,Rabbit,56
243,Fox,14
243,Rabbit,56
244,Fox,14
244,Rabbit,57
245,Fox,14
245,Rabbit,57
246,Fox,14
246,Rabbit,57
247,Fox,14
247,Rabbit,57
248,Fox,14
248,Rabbit,57
249,Fox,14
249,Rabbit,59
250,Fox,14
250,Rabbit,59
251,Fox,14
251,Rabbit,59
252,Fox,14
252,Rabbit,59
253,Fox,14
253,Rabbit,59
254,Fox,14
254,Rabbit,59
255,Fox,14
255,Rabbit,59
256,Fox,14
256,Rabbit,60
